county_name,Total,Hispanic or Latino,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Foreign Born
"Morris County, Texas",11973,1182,10791,7716,2448,70,35,9,30,300
"Motley County, Texas",1063,153,910,858,7,0,0,0,2,0
"Nacogdoches County, Texas",64653,13597,51056,37158,10567,191,760,10,190,4167
"Navarro County, Texas",52624,16049,36575,26996,6286,163,393,734,137,5285
"Newton County, Texas",12217,344,11873,9249,2075,59,24,0,27,66
"Nolan County, Texas",14738,5354,9384,8138,625,53,103,2,31,814
"Nueces County, Texas",353178,217052,136126,106165,12651,907,7712,281,1264,22951
"Ochiltree County, Texas",10015,5470,4545,4245,14,31,28,2,21,2417
"Oldham County, Texas",1758,313,1445,1325,33,6,10,0,0,40
"Orange County, Texas",84808,7265,77543,64935,7981,343,1108,13,196,1393
"Palo Pinto County, Texas",28409,5614,22795,20778,552,149,211,12,69,1437
"Panola County, Texas",22491,2190,20301,16098,3244,96,99,7,26,660
"Parker County, Texas",148222,19819,128403,117747,1636,878,990,97,470,5059
"Parmer County, Texas",9869,6504,3365,3187,53,11,14,0,39,1902
"Pecos County, Texas",15193,10845,4348,3473,505,33,143,0,35,2019
"Polk County, Texas",50123,7345,42778,34808,4869,914,340,0,135,2398
"Potter County, Texas",118525,45193,73332,50153,11999,636,6036,20,613,11644
"Presidio County, Texas",6131,4991,1140,961,25,16,85,0,9,2479
"Rains County, Texas",12164,1109,11055,10130,264,85,55,1,33,340
"Randall County, Texas",140753,31583,109170,95457,4567,794,2604,54,412,2898
"Reagan County, Texas",3385,2283,1102,968,33,12,19,1,6,498
"Real County, Texas",2758,692,2066,1940,22,8,12,3,2,90
"Red River County, Texas",11587,766,10821,8499,1738,102,51,0,13,142
"Reeves County, Texas",14748,12510,2238,1697,224,27,165,3,39,2672
"Refugio County, Texas",6741,3306,3435,2864,400,18,27,0,12,66
"Roberts County, Texas",827,50,777,717,2,2,0,0,1,12
"Robertson County, Texas",16757,3528,13229,9505,3095,29,104,21,37,506
"Rockwall County, Texas",107819,20560,87259,70198,8179,479,3306,75,344,4207
"Runnels County, Texas",9900,3354,6546,6062,132,39,24,6,15,398
"Rusk County, Texas",52214,9579,42635,32022,8240,195,231,18,162,3347
"Sabine County, Texas",9894,393,9501,8307,734,51,52,0,35,53
"San Augustine County, Texas",7918,639,7279,5270,1768,19,36,0,0,283
